segment_id,street,from_street,to_street,start_latitude,start_longitude,end_latitude,end_longitude
65,Pulaski,83rd,87th,41.7421819618,-87.7219287929,41.7348605537,-87.7216776788
149,Ashland,18th,Cermak,41.8577948131,-87.6663216627,41.8523321221,-87.6662077421
1081,127th,Halsted,Indiana,41.6631935046,-87.6413683477,41.6632816133,-87.6176632662
330,Western,99th,95th,41.713672748,-87.6816602454,41.7209382823,-87.6818720444
415,79th,Kostner,Cicero,41.7494782498,-87.7316040523,41.7492847508,-87.7413265301
380,Western,59th,63rd,41.7865297579,-87.6840139301,41.7792170504,-87.6838226552
147,Ashland,Archer,35th,41.8376849226,-87.6659250887,41.8305024208,-87.6657517025
771,Harlem,Gunnison,Foster,41.9682596163,-87.8069498272,41.9754664535,-87.8068343518
1247,Halsted,47th,51st,41.808864,-87.645729,41.801585,-87.645536
540,Cermak,Ashland,Racine,41.8522153617,-87.6659431492,41.8524053768,-87.6561829409
195,North,Halsted,LaSalle,41.9107824177,-87.6482730398,41.9110250802,-87.6331523771
717,Dr Martin L King Jr,31st,35th,41.8384234955,-87.6174700788,41.831103063,-87.6173371439
335,Western,79th,Columbus Ave,41.7501017847,-87.6826639338,41.7592310843,-87.6829192318
11,Garfield,State,Dr Martin L King Jr,41.7945059819,-87.625702556,41.7946636061,-87.6159826042
684,Dr Martin L King Jr,91st,87th,41.7291900977,-87.6141896483,41.7364992381,-87.6143079092
1221,Halsted,Harrison,Madison,41.874338,-87.646935,41.881776,-87.647171
269,87th,Western,California,41.7356644927,-87.6825126506,41.7355199254,-87.6921980271
626,Cicero,Diversey,Belmont,41.9315315648,-87.7464081568,41.9388186376,-87.7466944859
63,Pulaski,91st,95th,41.7279279345,-87.721966073,41.7205390182,-87.7215908065
60,Pulaski,103rd,107th,41.7059057937,-87.7211571147,41.6985650226,-87.7208769338
1276,Columbus,Roosevelt,Congress,41.867512,-87.620301,41.875774,-87.620488
788,Peterson,California,Jersey,41.9905751568,-87.6993974307,41.9905195564,-87.7111087839
350,Western,Roosevelt,Van Buren,41.8666115084,-87.6858548579,41.8760825857,-87.6860859175
650,Cicero,Belmont,Diversey,41.9388205094,-87.7470620151,41.9315334345,-87.7467756515
575,Cicero,Kinzie,Chicago,41.8879205051,-87.7453403489,41.8949856048,-87.7456284502
324,North,Central,Laramie,41.9092415237,-87.7657253832,41.9093640671,-87.7557968589
940,Milwaukee,Addison,Belmont,41.9462450778,-87.7358107254,41.9391425051,-87.7241340948
647,Cicero,Armitage,North Ave,41.9169319883,-87.7462962254,41.9096295855,-87.7462702262
297,Irving Park,Sheridan,Clarendon,41.9543511743,-87.6545461948,41.9544240318,-87.6497013008
800,Stony Island,83rd,79th,41.7442162163,-87.5854076784,41.7515184785,-87.5855768194
201,North,Cicero,Laramie,41.9097629867,-87.7461131909,41.9096384783,-87.7557943854
369,Western,103rd,107th,41.7063773615,-87.6818034645,41.699079999,-87.681570794
711,Dr Martin L King Jr,Garfield,59th,41.7946778372,-87.6161578443,41.7875182,-87.6160043658
1198,Halsted,103rd,99th,41.706916,-87.642643,41.714215,-87.642814
318,Irving Park,Clarendon,Sheridan,41.9546984352,-87.6496983683,41.954625578,-87.654543283
57,Pulaski,Bryn Mawr,Peterson,41.9828305605,-87.7283177717,41.988652019,-87.7283177717
856,Higgins,Oak Park,Harlem,41.9790058174,-87.7964577516,41.9812711585,-87.8069553878
110,Ashland,43rd,Pershing,41.8158697299,-87.6649647832,41.8231508628,-87.6651248281
1184,Sheridan,Pratt,Touhy,42.0055389804,-87.6607357537,42.0128288601,-87.6632694105
739,Milwaukee,Belmont,Addison,41.9391405545,-87.72376658,41.9462431643,-87.7354431617
876,LaSalle,Clark,Stockton,41.9129095435,-87.6329312928,41.9132509892,-87.6315440404
773,Milwaukee,Irving Park,Montrose,41.9534177331,-87.7471035018,41.9606324493,-87.7543053641
839,Harlem,Diversey,Grand,41.9308138672,-87.8066529833,41.9239935733,-87.8064286323
1127,Cicero,Cermak,Roosevelt,41.8512433072,-87.7440666919,41.865960857,-87.7446180929
1103,Cermak,Central,Ridgeland,41.851385,-87.763913,41.8510024115,-87.7834783427
581,Lake Shore Dr,31st,I-55 Expy,41.838571746,-87.6081678831,41.848976339,-87.6124560681
649,Cicero,Diversey,Fullerton,41.9315334345,-87.7467756515,41.9242323024,-87.7464522852
1201,Halsted,91st,87th,41.728767,-87.643226,41.736073,-87.643376
512,Archer,Kostner,Cicero,41.80029696,-87.73316995,41.79877485,-87.74290093
529,Caldwell,Central,Devon,41.996247,-87.764172,41.99730108,-87.76650952
127,Ashland,Addison,Irving Park,41.9469890515,-87.6686743455,41.9542892901,-87.6688650541
135,Ashland,83rd,87th,41.7430778317,-87.6634347632,41.7357908525,-87.6632483146
158,Ashland,Fullerton,Elston,41.9251526443,-87.668329537,41.9185478323,-87.6682766764
1200,Halsted,95th,91st,41.721458,-87.643022,41.728767,-87.643226
453,79th,Racine,Ashland,41.7505891635,-87.6536930095,41.7505652402,-87.6634686872
812,Stony Island,75th,79th,41.7587855819,-87.5861128958,41.7515208628,-87.5859432626
218,Roosevelt,Pulaski,Central Park,41.8660349238,-87.7251717904,41.8661526026,-87.7154221093
341,Western,55th,51st,41.793875546,-87.6838584229,41.8011451454,-87.684040664
283,Irving Park,Narragansett,Austin,41.9527793008,-87.7865606805,41.9529189391,-87.7767759969
22,Pulaski,99th,95th,41.7131708566,-87.720941896,41.7205351179,-87.7212281119
117,Ashland,Harrison,Washington,41.8741993673,-87.6664153537,41.8832979102,-87.6666877975
1089,127th,Indiana,Halsted,41.6635560289,-87.6176602275,41.6634679215,-87.6413654096
355,Western,Division,North Ave,41.9030150932,-87.686843103,41.9103198343,-87.6870370163
102,Ashland,79th,71st,41.7503560091,-87.6632541367,41.7649079607,-87.663612718
487,111th,Stewart,Halsted,41.6925984414,-87.6329215921,41.6925071489,-87.6423633676
372,Western,91st,95th,41.7282307117,-87.6824828127,41.7209403583,-87.6822383249
769,Harlem,Belmont,Addison,41.9379872726,-87.8065443404,41.9452629688,-87.8068210943
895,Lake Shore Dr,Lawrence,Montrose,41.9694059924,-87.6481529198,41.96200822,-87.64644589
490,111th,Bishop Ford Expy,Cottage Grove,41.6926493901,-87.5988095261,41.6929008891,-87.6098539827
69,Pulaski,63rd,67th,41.7786611581,-87.7230100127,41.7713768755,-87.7228259157
445,79th,Western,Damen,41.7499136183,-87.6827540461,41.7501431365,-87.6730852477
1185,Broadway,Devon,Hollywood,41.9982097226,-87.6605728465,41.9854635087,-87.6603094445
425,95th,Damen,Ashland,41.7208895929,-87.6727283985,41.7210579504,-87.6626346092
763,Harlem,59th,Archer,41.7846875845,-87.8010328293,41.7919383373,-87.801344619
15,55th,Central,Austin,41.7928797,-87.76223503,41.7926797,-87.77206503
284,Irving Park,Austin,Central,41.9529189391,-87.7767759969,41.9530473793,-87.7670009299
87,Pulaski,North Ave,Grand,41.9098896012,-87.726581748,41.9061589395,-87.7266587113
875,LaSalle,North Ave,Clark,41.9111587862,-87.632960514,41.913031,-87.632772
954,Ohio,Orleans,LaSalle,41.8923816602,-87.637047557,41.8924145112,-87.6325726363
918,Michigan,Congress,Roosevelt,41.875777,-87.624605,41.86745208,-87.62442868
1098,Cermak,Harlem,Ridgeland,41.8502380854,-87.8036133151,41.8507279962,-87.7834806928
